024	0
1821	1
025	2
0312	4
0872	5
0256	3
0244	9
196	10
129	235
0255	12
045	15
1321	14
1311	16
020	18
1723	238
0214	19
0251	21
122	22
1312	23
081	24
0833	25
132	26
074	28
1831	29
0253	30
154	7
1832	176
1431	31
1413	32
124	33
160	34
1451	197
1711	56
0313	37
172	38
1053	41
080	40
1432	42
010	43
0241	44
1042	45
036	46
100	47
1442	141
0333	49
027	172
0212	11
1213	215
057	51
1055	52
1124	218
043	53
195	54
1244	55
163	134
152	217
064	13
0874	57
1622	58
092	59
0871	60
1414	62
1125	221
201	17
194	80
1031	222
1232	63
2041	64
1223	65
0211	251
082	66
0841	67
054	6
185	69
093	230
128	71
1054	72
186	73
0842	61
0351	74
1032	76
123	77
1242	20
1014	78
1044	81
0353	82
114	83
018	85
193	86
0242	88
1712	89
1052	227
184	90
075	91
015	92
019	93
0254	94
107	96
181	97
0252	99
0354	237
033	100
056	101
143	102
073	145
0861	103
0233	106
022	105
1222	180
0311	107
1822	108
0314	186
1412	109
130	148
1313	112
180	113
106	114
0812	179
030	115
038	116
028	117
1231	118
042	27
1041	119
072	104
173	121
061	122
133	123
134	125
0862	127
115	129
083	231
013	131
150	193
017	133
105	244
062	135
046	136
127	137
113	138
202	140
0231	233
174	142
0232	143
121	70
1411	144
014	146
161	147
060	149
034	111
191	150
1211	151
0863	152
094	153
183	154
0873	155
175	68
0234	157
0344	35
1322	160
1051	195
1246	162
171	163
070	156
1212	159
1722	164
1452	165
063	168
0814	161
1623	158
0813	170
1122	242
131	171
138	173
035	174
120	175
125	177
032	178
164	39
1724	245
050	181
023	75
051	182
1221	183
108	184
021	185
1241	110
190	187
090	189
166	190
101	191
037	192
039	188
016	132
111	194
085	196
1043	120
151	198
137	248
1234	200
144	201
102	202
0332	203
145	130
0213	204
0331	205
2042	206
052	79
139	207
182	208
044	209
0342	48
0334	211
141	212
0243	214
055	139
1056	216
104	223
192	219
041	220
1233	224
1011	36
031	234
1121	225
091	226
1243	84
0356	228
126	229
140	239
0341	8
0832	87
103	166
1033	124
026	232
0831	50
1013	199
1621	236
0834	240
1823	98
012	241
142	243
1123	126
040	210
153	246
053	247
1721	249
112	167
170	250
071	128
1661	95
011	252
1441	213
162	169
