1125	0
023	3
0356	4
124	6
152	7
051	8
0344	9
1013	10
0833	11
184	12
1622	13
134	73
063	15
1213	18
082	16
1721	221
128	1
087	156
1244	38
1384	20
010	21
090	22
133	195
0251	23
112	24
0242	25
093	26
154	5
039	27
014	28
1053	30
0254	77
074	31
1431	32
180	33
0314	125
0861	197
174	35
086	36
061	37
1311	40
1241	39
0234	41
0312	42
101	45
166	44
1724	47
0834	48
055	180
072	49
190	50
081	187
011	51
125	52
195	53
021	202
123	54
105	55
1124	57
1211	64
1014	60
062	61
181	62
0872	63
0233	59
1832	65
0214	66
027	67
1823	68
056	69
114	70
1822	14
057	72
045	74
044	204
043	75
0211	76
0811	79
028	80
136	172
024	82
0241	2
020	83
0874	84
012	85
122	87
032	88
0253	92
0351	93
116	95
013	97
052	98
201	99
070	100
0841	101
1044	86
1122	175
0333	102
196	103
1821	106
130	105
164	107
030	108
1383	109
080	111
0232	112
1312	116
145	114
1313	115
151	117
153	120
0871	89
100	121
140	122
054	123
033	153
1722	90
0862	124
053	126
191	127
185	91
1246	128
1123	129
127	130
172	131
046	132
071	133
0812	94
015	134
194	135
143	136
138	138
183	96
115	139
040	137
160	140
0814	141
041	142
083	144
094	145
1041	147
1043	148
110	149
026	167
0231	151
031	56
016	152
162	154
1831	155
203	157
1723	158
1233	162
075	160
142	161
042	163
193	215
113	164
111	165
017	166
085	169
064	168
1662	170
0341	171
131	159
025	173
037	174
182	19
036	186
202	176
1231	177
1121	178
019	179
084	104
139	181
0353	182
1056	183
121	184
060	185
018	188
0831	189
107	219
0244	190
161	191
0873	146
144	143
137	193
170	194
192	196
175	29
173	110
102	192
073	199
1042	78
0332	200
0331	201
163	203
092	216
150	58
132	205
141	113
1711	223
1712	206
1412	46
1382	207
0256	213
034	208
106	209
0311	210
1031	34
091	211
129	212
1411	214
038	71
050	150
171	81
035	198
0243	217
1621	218
1243	118
022	220
186	119
0842	43
120	222
0213	17
0334	224
