593	50	217
3289	75	1924
3289	137	3862
3194	21	2341
2601	21	2601
2601	137	2613
2601	8	4381
2601	21	3668
2601	22	3668
4412	163	2924
2601	21	690
2601	21	2991
2601	163	4480
2601	149	446
2601	110	446
2601	196	909
2601	133	4491
1789	163	3668
1789	185	3668
1789	163	454
2601	163	4480
463	21	463
463	21	212
1070	22	1158
212	21	548
463	137	2669
463	165	548
212	131	548
463	83	548
212	110	2826
212	137	548
463	137	2669
874	75	54
874	75	1486
874	75	3779
874	75	2872
874	75	1037
3219	215	1522
2812	22	2601
239	83	4238
239	163	3846
239	199	3846
2755	21	3068
2812	21	488
2755	186	904
2755	137	904
239	163	1117
3475	21	909
2073	139	2189
2073	131	2189
2096	163	2096
1283	22	2504
2073	137	909
2073	163	909
2096	75	2096
54	163	874
54	75	1486
54	163	3668
54	163	2392
54	163	886
54	163	3040
54	163	3779
54	75	3779
54	96	2627
1977	21	2967
54	37	3615
54	165	3615
54	222	3615
54	28	446
54	83	446
54	75	1037
54	75	1173
54	131	54
1991	85	3069
490	21	2341
490	186	1513
490	22	1513
490	24	1513
571	75	2796
4125	166	3647
1398	50	4514
4514	21	3183
4514	129	3183
1398	215	3183
1398	97	3420
2345	215	1399
3183	215	3289
3810	21	2601
3810	22	294
3810	105	410
3810	110	410
3810	50	2601
3810	21	3475
3183	50	4514
3183	215	4514
3183	215	1399
3183	215	1398
3810	21	501
3810	215	1804
774	97	2613
1873	24	461
1312	110	2970
774	50	2613
3810	50	3668
1860	75	1505
1312	186	2627
3810	29	3068
3810	110	1059
3810	121	1866
3810	164	1866
1860	75	330
1873	22	330
1873	215	330
2013	21	909
3810	166	4195
1873	83	2599
1873	83	909
1860	75	909
3810	8	4195
3810	110	3359
3810	110	909
3810	110	3359
1873	19	909
1860	19	909
1873	19	909
1873	50	3549
1860	50	909
3810	50	475
1860	215	2796
3810	215	475
1860	215	909
1860	215	2599
3810	215	3812
3810	215	3810
952	150	3301
3301	97	3096
952	185	1735
3301	85	321
952	150	2839
952	185	1735
2929	28	2601
2613	137	2601
4381	8	2601
2970	19	3639
1656	131	3107
2970	8	1312
1238	35	1543
325	105	1656
2839	149	2839
3237	163	744
2929	75	4081
942	133	1161
2613	19	1505
2970	8	3243
1656	75	1756
2839	149	886
325	50	1756
325	50	886
1656	75	1756
2929	137	2542
2970	8	904
1656	75	2754
325	50	2754
2287	37	1938
2613	135	479
2613	135	4536
4381	83	909
2613	19	909
2839	62	2839
744	21	3810
744	83	3810
3069	8	1382
744	75	3237
2217	8	4346
744	75	2684
1486	163	874
1486	163	54
1486	185	1158
1486	163	886
1486	163	3040
1486	163	3779
1486	75	3779
1486	163	2872
482	85	3884
1486	163	1037
1486	75	1037
1486	8	260
1486	83	1571
1486	83	4341
4415	75	2869
4415	8	3047
4415	133	1158
4415	62	3047
3647	163	1924
550	137	909
4415	75	909
3647	150	2325
3647	150	909
4415	100	909
4415	62	904
3833	75	1146
4323	132	4323
4323	83	4323
